,Company Name,Industry,Symbol,Series,ISIN Code,Yahoo_Symbol
76,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019,ICICIPRULI.NS
77,Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027,IGL.NS
78,Indus Towers Ltd.,TELECOM,INDUSTOWER,EQ,INE121J01017,INDUSTOWER.NS
79,Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01024,NAUKRI.NS
80,InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027,INDIGO.NS
81,Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030,JINDALSTEL.NS
82,Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD,EQ,INE797F01012,JUBLFOOD.NS
83,Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019,LTI.NS
84,Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037,LUPIN.NS
85,Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026,MARICO.NS
86,Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012,MUTHOOTFIN.NS
87,NMDC Ltd.,METALS,NMDC,EQ,INE584A01023,NMDC.NS
88,PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030,PIIND.NS
89,Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026,PIDILITIND.NS
90,Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,EQ,INE140A01024,PEL.NS
91,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014,PGHH.NS
92,Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022,PNB.NS
93,SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD,EQ,INE018E01016,SBICARD.NS
94,Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024,SIEMENS.NS
95,Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,SAIL.NS
96,Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028,TORNTPHARM.NS
97,United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024,MCDOWELL-N.NS
98,Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,VEDL.NS
99,Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035,YESBANK.NS
